X0610007C21Rik.Apr3,X0610007L01Rik,X0610007P08Rik.Rad26l,X0610007P14Rik,X0610007P22Rik,X0610009B22Rik,X0610009D07Rik,X0610009O20Rik,X0610010F05Rik.mKIAA1841.Kiaa1841,X0610010K14Rik.Rnasek,X0610010O12Rik,X0610011F06Rik,X0610011L14Rik,X0610012G03Rik,X0610012H03Rik,X0610030E20Rik,X0610031J06Rik,X0610037L13Rik,X0610037P05Rik,X0610038B21Rik
W30075,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0
W30078,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30081,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
W30082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30083,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
W30084,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30095,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
W30099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30103,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0
W30105,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
W30107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
W30108,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
W30121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W30125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
W30139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
W30161,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
W30165,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
W30169,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0
W30173,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
W30174,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
W30175,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30176,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0
W30181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30182,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
W30184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30191,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W30192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
W30195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30202,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
W30203,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
W30209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30211,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
W30213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
W30214,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
W30215,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0
W30218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
W30225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
W30227,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
W30231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W30236,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
W30238,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
W30241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
W30251,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
W30253,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
W30263,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
W30268,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
W30269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30275,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
W30277,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
W30279,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
W30281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30291,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30292,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W30303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30304,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
W30309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
W30313,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
W30326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
W30333,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0
W30334,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
W31105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31106,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
W31107,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
W31108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
W31111,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
W31114,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
W31116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W31122,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
W31124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W31128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
W31130,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31132,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
W31139,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
W31142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
W31148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
W31152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W31157,0,1,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0
W31161,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
W31163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W31166,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0
W31167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
W31169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W31171,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
W31178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
W31180,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
W31182,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0
W31184,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
W31193,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
W31195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31200,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31202,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W31204,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,2,1
W31211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31212,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0
W31213,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
W31214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31220,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W31222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31223,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
W31224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31229,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
W31232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
W31234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
W31238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31242,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0
W31244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31245,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
W31249,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0
W31259,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
W31263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
W31264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0
W31265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31266,0,0,0,3,0,0,0,0,0,4,0,0,1,0,1,0,0,1,0,0
W31274,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
W31276,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W31287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
W31288,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
W31290,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W31291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
W31300,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
W31301,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W31302,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0
W31310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
W31315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W31317,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31322,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31328,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
W31332,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W31337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31341,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
W31342,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
W31350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W31353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W31357,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
W31360,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,3,0
W31362,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W31363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31376,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0
W31377,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0
W31380,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
W31382,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
W31383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
W31386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W31392,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
W31395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
W31398,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
W31403,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0
W31405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
W31407,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
W31410,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
W31415,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
W31426,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
W31428,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
